# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# T10N      : Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius) / Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius)
# STN,YYYYMMDD,   TG,   TN,   TX, T10N
  260,20240818,  170,  106,  233,   82
  260,20240819,  171,   93,  229,   67
  260,20240820,  180,  128,  239,  111
  260,20240821,  161,  123,  199,  100
  260,20240822,  189,  140,  227,  133
  260,20240823,  188,  127,  234,  101
  260,20240824,  190,  150,  271,  137
  260,20240825,  164,  131,  204,  116
  260,20240826,  166,  116,  219,   87
  260,20240827,  173,   97,  248,   71
  260,20240828,  201,   99,  287,   77
  260,20240829,  193,  136,  258,  113
  260,20240830,  178,  129,  228,  113
  260,20240831,  184,  151,  231,  144
  260,20240901,  224,  148,  298,  136
  260,20240902,  228,  168,  290,  150
  260,20240903,  197,  160,  235,  143
  260,20240904,  180,  147,  216,  130
  260,20240905,  222,  142,  287,  127
  260,20240906,  215,  176,  272,  145
  260,20240907,  213,  173,  263,  164
  260,20240908,  183,  121,  219,   98
  260,20240909,  162,  118,  220,   97
  260,20240910,  144,  105,  168,  101
  260,20240911,  110,   78,  151,   66
  260,20240912,  101,   54,  154,   35
  260,20240913,  106,   47,  170,   22
  260,20240914,  106,   34,  181,   15
  260,20240915,  133,   57,  190,   39
  260,20240916,  140,   86,  193,   70
  260,20240917,  163,   97,  200,   71
  260,20240918,  169,  133,  220,  116
  260,20240919,  170,  143,  224,  119
  260,20240920,  178,  142,  228,  118
  260,20240921,  166,  102,  244,   74
  260,20240922,  170,   99,  240,   77
  260,20240923,  166,  125,  214,  103
  260,20240924,  143,  107,  194,   89
  260,20240925,  151,  138,  181,  130
  260,20240926,  156,  138,  193,  129
  260,20240927,  122,   90,  149,   71
  260,20240928,  103,   66,  149,   55
  260,20240929,   98,   44,  143,   28
  260,20240930,  120,   87,  148,   71
  260,20241001,  129,  116,  144,  115
  260,20241002,  109,   82,  122,   63
  260,20241003,   93,   35,  151,   24
  260,20241004,   75,   13,  160,    4
  260,20241005,   81,    9,  154,    4
  260,20241006,  110,   41,  155,   17
  260,20241007,  154,  127,  188,  123
  260,20241008,  159,  131,  182,  112
  260,20241009,  140,  122,  160,  119
  260,20241010,  118,   80,  146,   76
  260,20241011,   77,   20,  131,   17
  260,20241012,   87,   17,  122,   12
  260,20241013,  101,   71,  135,   66
  260,20241014,   72,   21,  121,    9
  260,20241015,   97,   34,  145,   12
  260,20241016,  156,  113,  204,  103
  260,20241017,  168,  147,  200,  134
  260,20241018,  153,  126,  176,  110
  260,20241019,  147,  135,  159,  133
  260,20241020,  155,  135,  179,  134
  260,20241021,  139,  105,  153,  105
  260,20241022,  122,   91,  165,   71
  260,20241023,  101,   63,  153,   43
  260,20241024,  100,   40,  146,    9
  260,20241025,  133,   91,  188,   72
  260,20241026,  139,   86,  193,   69
  260,20241027,  124,   64,  170,   39
  260,20241028,  123,   78,  146,   50
  260,20241029,  134,  126,  140,  124
  260,20241030,  130,  120,  150,  119
  260,20241031,  115,   52,  148,   35
  260,20241101,  103,   49,  116,   32
  260,20241102,   93,   27,  130,    4
  260,20241103,   57,    4,  134,  -14
  260,20241104,   70,    6,  137,  -15
  260,20241105,   59,    2,  117,  -15
  260,20241106,   82,   64,   99,   66
  260,20241107,   53,   32,   76,   36
  260,20241108,   48,   40,   54,   40
  260,20241109,   66,   51,   77,   49
  260,20241110,   90,   74,  111,   59
  260,20241111,  103,   82,  136,   73
  260,20241112,   79,   24,  109,    8
  260,20241113,   83,   30,  119,   24
  260,20241114,   96,   63,  116,   55
  260,20241115,   85,   42,  102,   30
  260,20241116,   86,   77,   92,   69
  260,20241117,   74,   43,   97,   34
  260,20241118,   51,   34,   79,   24
  260,20241119,   32,    4,   55,  -12
  260,20241120,   26,    8,   57,   -5
  260,20241121,    9,  -28,   47,  -56
  260,20241122,   33,    0,   62,  -10
  260,20241123,   47,   12,  100,    7
  260,20241124,  143,   93,  171,   90
  260,20241125,  119,   78,  165,   69
  260,20241126,   73,   27,  101,    5
  260,20241127,   77,   31,  113,   15
  260,20241128,   67,   42,  102,   29
  260,20241129,   34,   -9,   76,  -42
  260,20241130,   41,    6,   68,   -5
  260,20241201,   57,   15,   85,    6
  260,20241202,   96,   76,  115,   72
  260,20241203,   57,   12,   84,  -13
  260,20241204,   39,   -7,   55,  -36
  260,20241205,   70,   47,  114,   46
  260,20241206,   84,   49,  111,   41
  260,20241207,   77,   59,  105,   56
  260,20241208,   65,   57,   71,   52
  260,20241209,   62,   55,   69,   53
  260,20241210,   50,   46,   57,   44
  260,20241211,   34,   24,   46,   18
  260,20241212,   34,   25,   45,   26
  260,20241213,   17,    4,   32,    6
  260,20241214,   40,   17,   62,   16
  260,20241215,   80,   38,  109,   27
  260,20241216,   98,   85,  111,   79
  260,20241217,   81,   71,   94,   60
  260,20241218,  106,   64,  130,   61
  260,20241219,   78,   44,  135,   36
  260,20241220,   59,   39,   74,   17
  260,20241221,   82,   69,  104,   63
  260,20241222,   56,   33,   94,   27
  260,20241223,   61,   30,   85,   10
  260,20241224,   56,   25,   81,    1
  260,20241225,   88,   80,   96,   80
  260,20241226,   64,   38,   82,   41
  260,20241227,   25,   -1,   42,  -18
  260,20241228,   10,   -2,   27,    1
  260,20241229,   40,   27,   51,   27
  260,20241230,   69,   46,   82,   46
  260,20241231,   46,   22,   80,   23
  260,20250101,   78,   48,   99,   47
  260,20250102,   29,   -1,   67,  -25
  260,20250103,   22,    1,   41,  -22
  260,20250104,   19,    4,   34,   -6
  260,20250105,   54,   -1,  116,    1
  260,20250106,   86,   42,  124,   34
  260,20250107,   36,   24,   54,   21
  260,20250108,   25,   12,   40,   -7
  260,20250109,   21,  -10,   63,  -26
  260,20250110,   22,  -24,   53,  -46
  260,20250111,    5,  -45,   58,  -70
  260,20250112,   17,   -6,   60,  -27
  260,20250113,    5,  -33,   52,  -57
  260,20250114,   28,  -16,   57,  -30
  260,20250115,   66,   56,   73,   56
  260,20250116,   34,   12,   62,   14
  260,20250117,    1,  -20,   22,  -15
  260,20250118,  -13,  -22,   -7,  -18
  260,20250119,  -10,  -17,   -7,  -14
  260,20250120,   -3,  -16,    4,  -13
  260,20250121,   -5,  -16,    1,  -31
  260,20250122,   21,  -13,   45,  -25
  260,20250123,   55,   40,   72,   33
  260,20250124,   76,   53,   95,   43
  260,20250125,   50,   20,   72,   11
  260,20250126,   38,   20,   60,   12
  260,20250127,   91,   60,  121,   54
