datetime,YYYYMMDD,HH,T,TD,T_260
2024-08-15 14:00:00+02:00,20240815,13,23.9,17.2,23.9
2024-08-15 15:00:00+02:00,20240815,14,23.9,16.5,23.9
2024-08-15 16:00:00+02:00,20240815,15,24.7,15.7,24.7
2024-08-15 17:00:00+02:00,20240815,16,25.3,16.0,25.3
2024-08-15 18:00:00+02:00,20240815,17,24.5,15.1,24.5
2024-08-15 19:00:00+02:00,20240815,18,24.1,14.8,24.1
2024-08-15 20:00:00+02:00,20240815,19,22.2,16.3,22.2
2024-08-15 21:00:00+02:00,20240815,20,20.5,14.9,20.5
2024-08-15 22:00:00+02:00,20240815,21,19.6,14.4,19.6
2024-08-15 23:00:00+02:00,20240815,22,19.0,14.5,19.0
2024-08-16 00:00:00+02:00,20240815,23,19.2,12.9,19.2
2024-08-16 01:00:00+02:00,20240815,24,19.6,14.3,19.6
2024-08-16 02:00:00+02:00,20240816,1,19.9,15.8,19.9
2024-08-16 03:00:00+02:00,20240816,2,20.1,16.7,20.1
2024-08-16 04:00:00+02:00,20240816,3,19.7,17.2,19.7
2024-08-16 05:00:00+02:00,20240816,4,20.3,17.1,20.3
2024-08-16 06:00:00+02:00,20240816,5,19.5,17.6,19.5
2024-08-16 07:00:00+02:00,20240816,6,20.1,17.5,20.1
2024-08-16 08:00:00+02:00,20240816,7,19.7,18.3,19.7
2024-08-16 09:00:00+02:00,20240816,8,19.2,18.4,19.2
2024-08-16 10:00:00+02:00,20240816,9,19.6,19.1,19.6
2024-08-16 11:00:00+02:00,20240816,10,20.5,18.9,20.5
2024-08-16 12:00:00+02:00,20240816,11,20.2,18.8,20.2
2024-08-16 13:00:00+02:00,20240816,12,20.2,19.3,20.2
2024-08-16 14:00:00+02:00,20240816,13,20.6,19.5,20.6
2024-08-16 15:00:00+02:00,20240816,14,20.3,19.4,20.3
2024-08-16 16:00:00+02:00,20240816,15,19.8,18.9,19.8
2024-08-16 17:00:00+02:00,20240816,16,18.5,17.9,18.5
2024-08-16 18:00:00+02:00,20240816,17,18.8,18.0,18.8
2024-08-16 19:00:00+02:00,20240816,18,18.8,17.9,18.8
2024-08-16 20:00:00+02:00,20240816,19,18.3,17.8,18.3
2024-08-16 21:00:00+02:00,20240816,20,17.7,17.4,17.7
2024-08-16 22:00:00+02:00,20240816,21,17.0,16.5,17.0
2024-08-16 23:00:00+02:00,20240816,22,16.6,16.1,16.6
2024-08-17 00:00:00+02:00,20240816,23,16.7,16.1,16.7
2024-08-17 01:00:00+02:00,20240816,24,16.1,15.5,16.1
2024-08-17 02:00:00+02:00,20240817,1,16.2,15.2,16.2
2024-08-17 03:00:00+02:00,20240817,2,15.8,15.0,15.8
2024-08-17 04:00:00+02:00,20240817,3,14.5,14.3,14.5
2024-08-17 05:00:00+02:00,20240817,4,14.2,13.7,14.2
2024-08-17 06:00:00+02:00,20240817,5,14.2,13.7,14.2
2024-08-17 07:00:00+02:00,20240817,6,15.7,15.1,15.7
2024-08-17 08:00:00+02:00,20240817,7,18.2,14.2,18.2
2024-08-17 09:00:00+02:00,20240817,8,19.2,15.3,19.2
2024-08-17 10:00:00+02:00,20240817,9,19.8,12.5,19.8
2024-08-17 11:00:00+02:00,20240817,10,20.6,10.4,20.6
2024-08-17 12:00:00+02:00,20240817,11,21.3,10.8,21.3
2024-08-17 13:00:00+02:00,20240817,12,22.3,11.1,22.3
2024-08-17 14:00:00+02:00,20240817,13,22.8,11.2,22.8
2024-08-17 15:00:00+02:00,20240817,14,22.5,10.9,22.5
2024-08-17 16:00:00+02:00,20240817,15,23.0,10.9,23.0
2024-08-17 17:00:00+02:00,20240817,16,22.8,10.1,22.8
2024-08-17 18:00:00+02:00,20240817,17,22.1,11.2,22.1
2024-08-17 19:00:00+02:00,20240817,18,21.1,11.6,21.1
2024-08-17 20:00:00+02:00,20240817,19,17.8,14.4,17.8
2024-08-17 21:00:00+02:00,20240817,20,15.1,13.7,15.1
2024-08-17 22:00:00+02:00,20240817,21,14.7,13.7,14.7
2024-08-17 23:00:00+02:00,20240817,22,14.2,13.2,14.2
2024-08-18 00:00:00+02:00,20240817,23,13.6,13.0,13.6
2024-08-18 01:00:00+02:00,20240817,24,13.6,13.1,13.6
2024-08-18 02:00:00+02:00,20240818,1,13.6,13.0,13.6
2024-08-18 03:00:00+02:00,20240818,2,13.4,12.8,13.4
2024-08-18 04:00:00+02:00,20240818,3,13.3,12.8,13.3
2024-08-18 05:00:00+02:00,20240818,4,13.9,13.0,13.9
